"REF_DATE","GEO","DGUID","Education","Donation statistics (UOM)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada","2016A000011124","All education levels","Donor rate","Percent","239","units","0","v95644086","1.1.1","82.6","","","","1"
"2013","Canada","2016A000011124","All education levels","Average annual donations","Dollars","81","units","0","v95644087","1.1.2","535","","","","0"
"2013","Canada","2016A000011124","All education levels","Median annual donations","Dollars","81","units","0","v95644088","1.1.3","128","","","","0"
"2013","Canada","2016A000011124","All education levels","Total annual donations","Dollars","81","millions","6","v95644089","1.1.4","12131.3","","","","1"
"2013","Canada","2016A000011124","All education levels","Population distribution","Percent","239","units","0","v95644090","1.1.5","100.0","","","","1"
"2013","Canada","2016A000011124","All education levels","Percentage of total donation value","Percent","239","units","0","v95644091","1.1.6","100.0","","","","1"
"2013","Canada","2016A000011124","Less than high school","Donor rate","Percent","239","units","0","v95644092","1.2.1","67.1","","","","1"
"2013","Canada","2016A000011124","Less than high school","Average annual donations","Dollars","81","units","0","v95644093","1.2.2","321","","","","0"
"2013","Canada","2016A000011124","Less than high school","Median annual donations","Dollars","81","units","0","v95644094","1.2.3","69","","","","0"
"2013","Canada","2016A000011124","Less than high school","Total annual donations","Dollars","81","millions","6","v95644095","1.2.4","756.1","","","","1"
"2013","Canada","2016A000011124","Less than high school","Population distribution","Percent","239","units","0","v95644096","1.2.5","12.8","","","","1"
"2013","Canada","2016A000011124","Less than high school","Percentage of total donation value","Percent","239","units","0","v95644097","1.2.6","6.2","","","","1"
"2013","Canada","2016A000011124","Graduated from high school","Donor rate","Percent","239","units","0","v95644098","1.3.1","79.4","","","","1"
"2013","Canada","2016A000011124","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644099","1.3.2","415","","","","0"
"2013","Canada","2016A000011124","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644100","1.3.3","99","","","","0"
"2013","Canada","2016A000011124","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644101","1.3.4","2736.6","","","","1"
"2013","Canada","2016A000011124","Graduated from high school","Population distribution","Percent","239","units","0","v95644102","1.3.5","30.2","","","","1"
"2013","Canada","2016A000011124","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644103","1.3.6","22.6","","","","1"
"2013","Canada","2016A000011124","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644104","1.4.1","87.5","","","","1"
"2013","Canada","2016A000011124","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644105","1.4.2","446","","","","0"
"2013","Canada","2016A000011124","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644106","1.4.3","122","","","","0"
"2013","Canada","2016A000011124","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644107","1.4.4","3376.3","","","","1"
"2013","Canada","2016A000011124","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644108","1.4.5","31.5","","","","1"
"2013","Canada","2016A000011124","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644109","1.4.6","27.8","","","","1"
"2013","Canada","2016A000011124","University degree","Donor rate","Percent","239","units","0","v95644110","1.5.1","88.2","","","","1"
"2013","Canada","2016A000011124","University degree","Average annual donations","Dollars","81","units","0","v95644111","1.5.2","851","","","","0"
"2013","Canada","2016A000011124","University degree","Median annual donations","Dollars","81","units","0","v95644112","1.5.3","248","","","","0"
"2013","Canada","2016A000011124","University degree","Total annual donations","Dollars","81","millions","6","v95644113","1.5.4","5262.4","","","","1"
"2013","Canada","2016A000011124","University degree","Population distribution","Percent","239","units","0","v95644114","1.5.5","25.5","","","","1"
"2013","Canada","2016A000011124","University degree","Percentage of total donation value","Percent","239","units","0","v95644115","1.5.6","43.4","","","","1"
"2013","Newfoundland and Labrador","2016A000210","All education levels","Donor rate","Percent","239","units","0","v95644116","2.1.1","87.2","","","","1"
"2013","Newfoundland and Labrador","2016A000210","All education levels","Average annual donations","Dollars","81","units","0","v95644117","2.1.2","361","","","","0"
"2013","Newfoundland and Labrador","2016A000210","All education levels","Median annual donations","Dollars","81","units","0","v95644118","2.1.3","124","","","","0"
"2013","Newfoundland and Labrador","2016A000210","All education levels","Total annual donations","Dollars","81","millions","6","v95644119","2.1.4","125.0","","","","1"
"2013","Newfoundland and Labrador","2016A000210","All education levels","Population distribution","Percent","239","units","0","v95644120","2.1.5","100.0","","","","1"
"2013","Newfoundland and Labrador","2016A000210","All education levels","Percentage of total donation value","Percent","239","units","0","v95644121","2.1.6","100.0","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Less than high school","Donor rate","Percent","239","units","0","v95644122","2.2.1","80.4","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Less than high school","Average annual donations","Dollars","81","units","0","v95644123","2.2.2","306","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Less than high school","Median annual donations","Dollars","81","units","0","v95644124","2.2.3","99","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Less than high school","Total annual donations","Dollars","81","millions","6","v95644125","2.2.4","23.9","E","","","1"
"2013","Newfoundland and Labrador","2016A000210","Less than high school","Population distribution","Percent","239","units","0","v95644126","2.2.5","24.4","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Less than high school","Percentage of total donation value","Percent","239","units","0","v95644127","2.2.6","19.1","E","","","1"
"2013","Newfoundland and Labrador","2016A000210","Graduated from high school","Donor rate","Percent","239","units","0","v95644128","2.3.1","82.7","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644129","2.3.2","271","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644130","2.3.3","67","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644131","2.3.4","24.6","E","","","1"
"2013","Newfoundland and Labrador","2016A000210","Graduated from high school","Population distribution","Percent","239","units","0","v95644132","2.3.5","27.7","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644133","2.3.6","19.7","E","","","1"
"2013","Newfoundland and Labrador","2016A000210","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644134","2.4.1","93.2","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644135","2.4.2","359","E","","","0"
"2013","Newfoundland and Labrador","2016A000210","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644136","2.4.3","128","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644137","2.4.4","39.4","E","","","1"
"2013","Newfoundland and Labrador","2016A000210","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644138","2.4.5","29.7","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644139","2.4.6","31.5","","","","1"
"2013","Newfoundland and Labrador","2016A000210","University degree","Donor rate","Percent","239","units","0","v95644140","2.5.1","93.1","","","","1"
"2013","Newfoundland and Labrador","2016A000210","University degree","Average annual donations","Dollars","81","units","0","v95644141","2.5.2","550","","","","0"
"2013","Newfoundland and Labrador","2016A000210","University degree","Median annual donations","Dollars","81","units","0","v95644142","2.5.3","257","","","","0"
