organisation,"portée géographie, anglais","portée géographie, français","secteur, anglais","secteur, français",code postale,ville,code de la province,"nom de la région de patrimoine canadien, anglais","nom de la région de patrimoine canadien, français","nom de la province, anglais","nom de la province, français","nom de la région économique, anglais","nom de la région économique, français","nom de la division de recensement, anglais","nom de la division de recensement, français",nom de la subdivision de recensement,nom de la région métropolitaine de recensement,type de classification des secteurs statistiques (CSS),code de classification des secteurs statistiques (CSS),latitude,longitude,
Organization,"geography scope, english","geography scope, french","sector, english","sector, french",Postal code,city,province code,"Canadian Heritage region name, english","Canadian Heritage region name, french","province name, english","province name, french","economic region name, english","economic region name, french","census division name, english","census division name, french",census subdivision name,census metropolitan area name,Statistical Area Classification (SAC) type,Statistical Area Classification (SAC) code,latitude,longitude,
100 nons,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,R2H0G7,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.893857,-97.114744,WINNIPEG
ACFA - Cercle Local de la Région de Canmore,01 regional,01 régional,01 community development,01 développement communautaire,T1W3H9,Canmore T,48,Western Region,Région de l'Ouest,Alberta,Alberta,Banff - Jasper - Rocky Mountain House,Banff - Jasper - Rocky Mountain House,Division No. 15,Division No. 15,Canmore,Canmore,3,828,51.086858,-115.346715,CANMORE
ACFA - régionale de Bonnyville-Cold lake,01 regional,01 régional,01 community development,01 développement communautaire,T9N2G5,Bonnyville T,48,Western Region,Région de l'Ouest,Alberta,Alberta,Wood Buffalo - Cold Lake,Wood Buffalo - Cold Lake,Division No. 12,Division No. 12,Bonnyville No. 87,,5,997,54.268815,-110.738668,BONNYVILLE
ACFA - régionale de Calgary-Banff,01 regional,01 régional,01 community development,01 développement communautaire,T2P3G2,Calgary,48,Western Region,Région de l'Ouest,Alberta,Alberta,Calgary,Calgary,Division No. 6,Division No. 6,Calgary,Calgary,1,825,51.047158,-114.080189,CALGARY
ACFA - régionale de Centralta,01 regional,01 régional,01 community development,01 développement communautaire,T0G1L0,Legal,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Legal,Edmonton,1,835,53.95255,-113.588848,LEGAL
ACFA - régionale de Grande Prairie,01 regional,01 régional,01 community development,01 développement communautaire,T8V0N2,Grande Prairie,48,Western Region,Région de l'Ouest,Alberta,Alberta,Athabasca - Grande Prairie - Peace River,Athabasca - Grande Prairie - Peace River,Division No. 19,Division No. 19,Grande Prairie,Grande Prairie,3,850,55.167804,-118.793538,GRANDE PRAIRIE
ACFA - régionale de Jasper,01 regional,01 régional,01 community development,01 développement communautaire,T0E1E0,Jasper,48,Western Region,Région de l'Ouest,Alberta,Alberta,Banff - Jasper - Rocky Mountain House,Banff - Jasper - Rocky Mountain House,Division No. 15,Division No. 15,Jasper,,6,998,52.879542,-118.081827,JASPER
ACFA - régionale de Lethbridge,01 regional,01 régional,01 community development,01 développement communautaire,T1J1C3,Lethbridge,48,Western Region,Région de l'Ouest,Alberta,Alberta,Lethbridge - Medicine Hat,Lethbridge - Medicine Hat,Division No. 2,Division No. 2,Lethbridge,Lethbridge,2,810,49.691573,-112.810326,LETHBRIDGE
ACFA - régionale de Plamondon-Lac La Biche,01 regional,01 régional,01 community development,01 développement communautaire,T0A2T0,Plamondon,48,Western Region,Région de l'Ouest,Alberta,Alberta,Wood Buffalo - Cold Lake,Wood Buffalo - Cold Lake,Division No. 12,Division No. 12,0,,5,997,54.846349,-112.346835,PLAMONDON
