BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,GRID,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LATITUDE,LAUNDRY_ROOMS,LONGITUDE,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WARDNAME,WATER_PEN_EXT_BLDG_ELEMENTS,X,Y,YEAR_BUILT,YEAR_EVALUATED,YEAR_REGISTERED,_id
N/A,3,16,N/A,3,2,2022-03-15,3,3,3,3,N/A,4,S1125,3,2,3,43.672241558,3,-79.414621827,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 1 year,4153196,61,5,2 VERMONT AVE,3,N/A,11,University-Rosedale,3,311668.929,4836703.171,1910,,,29310
4,15,201,4,4,3,2022-03-11,3,4,4,4,4,5,E2225,4,4,4,43.779266937,4,-79.323413406,19,N/A,4,TCHC,Evaluation needs to be conducted in 2 years,4155942,78,4,2743 VICTORIA PARK AVE,3,4,22,Scarborough-Agincourt,4,318912.612,4848579.722,1971,,2017,29311
4,12,237,3,4,3,2022-03-10,4,3,4,3,3,5,E2227,4,3,4,43.7985740617,4,-79.3051267847,18,N/A,4,TCHC,Evaluation needs to be conducted in 2 years,4155585,72,4,2821 BIRCHMOUNT RD,3,N/A,22,Scarborough-Agincourt,3,320465.905,4850752.081,1969,,2017,29312
4,18,421,3,3,3,2022-03-10,3,3,4,3,3,4,E2024,4,3,4,43.727612646,4,-79.251278648,18,N/A,3,TCHC,Evaluation needs to be conducted in 2 years,4155573,68,4,40 GORDONRIDGE PL,3,N/A,20,Scarborough Southwest,3,324819.267,4842872.647,1972,,2017,29313
3,11,192,N/A,3,3,2022-03-07,3,3,3,3,3,3,E2023,2,4,4,43.72687441,3,-79.265289789,18,N/A,2,TCHC,Evaluation needs to be conducted in 1 year,4155566,61,3,675 KENNEDY RD,3,3,20,Scarborough Southwest,4,323769.245,4842812.63,1969,,2017,29314
3,12,115,4,3,3,2022-03-04,2,3,4,4,3,5,E2028,4,3,4,43.7029523574,3,-79.2810286285,18,N/A,4,TCHC,Evaluation needs to be conducted in 2 years,4155561,71,5,1 FIRVALLEY CRT,3,N/A,20,Scarborough Southwest,4,322432.948,4840133.711,1962,,2017,29315
4,24,278,3,3,2,2022-03-04,4,3,3,4,3,2,E2028,4,1,3,43.6970038322,3,-79.287792292,18,N/A,2,TCHC,Evaluation needs to be conducted in 1 year,4155563,62,4,30 TEESDALE PL,3,N/A,20,Scarborough Southwest,5,321889.538,4839471.448,1971,,2017,29316
4,6,48,4,4,4,2022-03-02,4,3,4,4,N/A,5,E2424,3,4,4,43.756840819,4,-79.241965176,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152739,80,4,3210 LAWRENCE AVE E,4,N/A,24,Scarborough-Guildwood,5,325562.476,4846130.432,1960,,2017,29317
3,3,13,N/A,3,3,2022-01-20,3,4,4,3,N/A,5,S1127,3,3,3,43.6698858155,3,-79.4035334052,15,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,5033221,68,5,51 MADISON AVE,3,N/A,11,University-Rosedale,3,312563.635,4836441.465,1890,,,29318
5,4,50,N/A,5,5,2021-12-31,4,3,4,3,N/A,5,S1421,3,2,3,43.6870714875,4,-79.3548247563,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154110,75,5,12 BATER AVE,3,4,14,Toronto-Danforth,3,316488.358,4838356.478,1927,2021,2018,29319
